balanced growth,A2WYCY1FMQOD5F,metaphor,20
balanced growth,A2WYCY1FMQOD5F,metaphor,36
economic laggard,A2WYCY1FMQOD5F,metaphor,33
economic laggard,A2WYCY1FMQOD5F,metaphor,81
democratic vitality,A2WYCY1FMQOD5F,metaphor,39
democratic vitality,A2WYCY1FMQOD5F,metaphor,28
delicious agony,A2WYCY1FMQOD5F,metaphor,76
delicious agony,A2WYCY1FMQOD5F,metaphor,81
cold appearance,A2WYCY1FMQOD5F,metaphor,27
cold appearance,A2WYCY1FMQOD5F,metaphor,23
blind optimism,A2WYCY1FMQOD5F,metaphor,70
blind optimism,A2WYCY1FMQOD5F,metaphor,33
blind elite,A2WYCY1FMQOD5F,metaphor,76
blind elite,A2WYCY1FMQOD5F,metaphor,85
broken melody,A2WYCY1FMQOD5F,metaphor,68
broken melody,A2WYCY1FMQOD5F,metaphor,34
deserted relationships,A2WYCY1FMQOD5F,metaphor,34
deserted relationships,A2WYCY1FMQOD5F,metaphor,69
deflated pride,A2WYCY1FMQOD5F,metaphor,32
deflated pride,A2WYCY1FMQOD5F,metaphor,30
economic pie,A2WYCY1FMQOD5F,metaphor,62
economic pie,A2WYCY1FMQOD5F,metaphor,70
clouded future,A2WYCY1FMQOD5F,metaphor,80
clouded future,A2WYCY1FMQOD5F,metaphor,75
economic rise,A2541C8MY0BYV3,metaphor,18
economic rise,A2541C8MY0BYV3,metaphor,27
dirty deeds,A2541C8MY0BYV3,metaphor,73
dirty deeds,A2541C8MY0BYV3,metaphor,95
consuming darkness,A2541C8MY0BYV3,metaphor,58
consuming darkness,A2541C8MY0BYV3,metaphor,71
cold appearance,A2541C8MY0BYV3,metaphor,13
cold appearance,A2541C8MY0BYV3,metaphor,85
deflated pride,A2541C8MY0BYV3,metaphor,11
deflated pride,A2541C8MY0BYV3,metaphor,35
economic muscle,A2541C8MY0BYV3,metaphor,70
economic muscle,A2541C8MY0BYV3,metaphor,36
delicious agony,A2541C8MY0BYV3,metaphor,80
delicious agony,A2541C8MY0BYV3,metaphor,32
durable middle-class,A2541C8MY0BYV3,metaphor,61
durable middle-class,A2541C8MY0BYV3,metaphor,32
economic force,A2541C8MY0BYV3,metaphor,69
economic force,A2541C8MY0BYV3,metaphor,72
deep poverty,A2541C8MY0BYV3,metaphor,39
deep poverty,A2541C8MY0BYV3,metaphor,9
blind hate,A2541C8MY0BYV3,metaphor,89
blind hate,A2541C8MY0BYV3,metaphor,60
desolate beauty,A2541C8MY0BYV3,metaphor,59
desolate beauty,A2541C8MY0BYV3,metaphor,76
economic laggard,A9HQ3E0F2AGVO,metaphor,0
economic laggard,A9HQ3E0F2AGVO,metaphor,0
burdened service,A9HQ3E0F2AGVO,metaphor,0
burdened service,A9HQ3E0F2AGVO,metaphor,71
deep rank,A9HQ3E0F2AGVO,metaphor,0
deep rank,A9HQ3E0F2AGVO,metaphor,0
economic pie,A9HQ3E0F2AGVO,metaphor,79
economic pie,A9HQ3E0F2AGVO,metaphor,0
