corrosive corruption,A16TP8YGKE1FJ5,metaphor,94
corrosive corruption,A16TP8YGKE1FJ5,metaphor,99
deep-rooted tradition,A16TP8YGKE1FJ5,metaphor,98
deep-rooted tradition,A16TP8YGKE1FJ5,metaphor,98
blue obscurity,A16TP8YGKE1FJ5,metaphor,83
blue obscurity,A16TP8YGKE1FJ5,metaphor,92
bloated spending,A16TP8YGKE1FJ5,metaphor,99
bloated spending,A16TP8YGKE1FJ5,metaphor,99
dim reminder,A16TP8YGKE1FJ5,metaphor,95
dim reminder,A16TP8YGKE1FJ5,metaphor,92
colorful personality,A16TP8YGKE1FJ5,metaphor,97
colorful personality,A16TP8YGKE1FJ5,metaphor,14
colorful remark,A16TP8YGKE1FJ5,metaphor,93
colorful remark,A16TP8YGKE1FJ5,metaphor,7
economic rise,A16TP8YGKE1FJ5,metaphor,95
economic rise,A16TP8YGKE1FJ5,metaphor,59
civic fabric,A16TP8YGKE1FJ5,metaphor,96
civic fabric,A16TP8YGKE1FJ5,metaphor,70
dead money,A16TP8YGKE1FJ5,metaphor,41
dead money,A16TP8YGKE1FJ5,metaphor,100
economic slide,A16TP8YGKE1FJ5,metaphor,97
economic slide,A16TP8YGKE1FJ5,metaphor,91
deflated pride,A16TP8YGKE1FJ5,metaphor,3
deflated pride,A16TP8YGKE1FJ5,metaphor,6
colorful remark,A1F2GPJS6SWQ6M,metaphor,100
colorful remark,A1F2GPJS6SWQ6M,metaphor,23
cold justice,A1F2GPJS6SWQ6M,metaphor,39
cold justice,A1F2GPJS6SWQ6M,metaphor,12
deflated emotions,A1F2GPJS6SWQ6M,metaphor,19
deflated emotions,A1F2GPJS6SWQ6M,metaphor,14
corporate pie,A1F2GPJS6SWQ6M,metaphor,63
corporate pie,A1F2GPJS6SWQ6M,metaphor,41
dodgy bar,A1F2GPJS6SWQ6M,metaphor,77
dodgy bar,A1F2GPJS6SWQ6M,metaphor,74
deep solitude,A1F2GPJS6SWQ6M,metaphor,71
deep solitude,A1F2GPJS6SWQ6M,metaphor,60
cultural strength,A1F2GPJS6SWQ6M,metaphor,67
cultural strength,A1F2GPJS6SWQ6M,metaphor,37
backward area,A1F2GPJS6SWQ6M,metaphor,40
backward area,A1F2GPJS6SWQ6M,metaphor,36
dynamic company,A1F2GPJS6SWQ6M,metaphor,63
dynamic company,A1F2GPJS6SWQ6M,metaphor,60
democratic vitality,A1F2GPJS6SWQ6M,metaphor,68
democratic vitality,A1F2GPJS6SWQ6M,metaphor,62
economic battle,A1F2GPJS6SWQ6M,metaphor,65
economic battle,A1F2GPJS6SWQ6M,metaphor,31
ecological collapse,A1F2GPJS6SWQ6M,metaphor,63
ecological collapse,A1F2GPJS6SWQ6M,metaphor,60
economic muscle,A1JVWOBGNA6KJT,metaphor,100
economic muscle,A1JVWOBGNA6KJT,metaphor,59
dodgy bar,A1JVWOBGNA6KJT,metaphor,100
dodgy bar,A1JVWOBGNA6KJT,metaphor,0
chronic poverty,A1JVWOBGNA6KJT,metaphor,0
chronic poverty,A1JVWOBGNA6KJT,metaphor,100
desolate beauty,A1JVWOBGNA6KJT,metaphor,100
desolate beauty,A1JVWOBGNA6KJT,metaphor,0
clear-cut solution,A1JVWOBGNA6KJT,metaphor,100
clear-cut solution,A1JVWOBGNA6KJT,metaphor,100
corporate pie,A1JVWOBGNA6KJT,metaphor,100
corporate pie,A1JVWOBGNA6KJT,metaphor,0
clouded future,A1JVWOBGNA6KJT,metaphor,100
clouded future,A1JVWOBGNA6KJT,metaphor,100
deep poverty,A1JVWOBGNA6KJT,metaphor,0
deep poverty,A1JVWOBGNA6KJT,metaphor,0
clear responsibility,A1JVWOBGNA6KJT,metaphor,100
